n_components,cumulative_variance
791,0.9959020900931957
792,0.995932056717686
793,0.9959619177455405
794,0.9959916059316594
795,0.9960211296330818
796,0.996050473882694
797,0.9960797525537088
798,0.9961088853679877
799,0.996137910393737
800,0.9961667615791794
801,0.9961955564668118
802,0.9962242916030513
803,0.9962528964242785
804,0.9962813442461731
805,0.9963096716075064
806,0.9963378232791804
807,0.9963658210898496
808,0.9963937983060708
809,0.9964215182469179
810,0.9964490728267106
811,0.9964764961127359
812,0.9965038366315716
813,0.9965311145856209
814,0.9965583600362105
815,0.9965853731223371
816,0.9966122727088269
817,0.9966389223607419
818,0.9966654622333301
819,0.9966919570028379
820,0.9967183262169057
821,0.9967446128478434
822,0.9967707563383358
823,0.9967967242290843
