rank,entity,total_mentions,literature,miviludes,interviews
617,movements and communities,12,12,0,0
618,jugendsekten,12,12,0,0
619,mourides,12,12,0,0
620,meyer,12,12,0,0
621,satanic temple,12,12,0,0
622,nonconventional religions,12,12,0,0
623,vajradhatu,12,12,0,0
624,vissarion,12,12,0,0
625,proclamation society,12,12,0,0
626,dawes,12,12,0,0
627,emprise sectaire,12,0,12,0
628,pseudothérapeutes,12,0,12,0
629,cult groups,11,11,0,0
630,person,11,11,0,0
631,seekership,11,11,0,0
632,dalai lama,11,11,0,0
633,critics,11,11,0,0
634,seventh-day adventists,11,11,0,0
635,governments,11,11,0,0
636,authorities,11,11,0,0
637,north america,11,11,0,0
638,aff,11,11,0,0
639,cia,11,10,0,1
640,commitment,11,11,0,0
641,seekers,11,11,0,0
642,cult controversies,11,11,0,0
643,belief,11,11,0,0
644,muslim,11,11,0,0
645,wessinger,11,11,0,0
646,public,11,11,0,0
647,john-roger,11,11,0,0
648,cult watching groups,11,11,0,0
649,suicide,11,11,0,0
650,routinization,11,11,0,0
651,information,11,10,1,0
652,pike,11,11,0,0
653,world wide web,11,11,0,0
654,race,11,11,0,0
655,nature,11,11,0,0
656,krishna,11,11,0,0
657,ahmadiyya,11,11,0,0
658,brotherhood of the cross and star,11,11,0,0
659,house church movement,11,11,0,0
660,japanese nrms,11,11,0,0
661,millenarianism,11,11,0,0
662,people's temple,11,11,0,0
663,aics,11,11,0,0
664,alpha,11,11,0,0
665,murid movement,11,11,0,0
666,cesnur,11,11,0,0
667,charismatic movements,11,11,0,0
668,samael aun weor,11,11,0,0
669,protestantism,11,4,7,0
670,messianic judaism,11,11,0,0
671,the new kadampa tradition,11,11,0,0
672,nkt,11,11,0,0
673,church of england,11,11,0,0
674,self-realization fellowship,11,11,0,0
675,shinnyo-en,11,11,0,0
676,spirit of jesus church,11,11,0,0
677,modern yoga,11,11,0,0
678,zaoga,11,11,0,0
679,miracles,11,11,0,0
680,church of jesus christ of latter-day saints,11,11,0,0
681,ra ë lian movement,11,11,0,0
682,ra ë lians,11,11,0,0
683,ervil lebaron,11,11,0,0
684,lenny zeskind,11,11,0,0
685,new communist movement,11,11,0,0
686,ghost dance,11,11,0,0
687,tecumseh,11,11,0,0
688,wahhabis,11,11,0,0
689,joseph franklin rutherford,11,11,0,0
690,granville sharp,11,11,0,0
691,communal reading of the whole qur'an,11,11,0,0
692,emprise,11,0,11,0
693,psychic control,11,0,11,0
694,french government,10,10,0,0
695,minority religions,10,10,0,0
696,cult leader,10,10,0,0
697,researchers,10,10,0,0
698,destructive cults,10,10,0,0
699,religious establishment,10,10,0,0
700,margaret singer,10,10,0,0
701,wallis,10,10,0,0
702,pascal boyer,10,10,0,0
703,cult-watching groups,10,10,0,0
704,family members,10,10,0,0
705,governmental agencies,10,10,0,0
706,anti-cult organizations,10,10,0,0
707,identity,10,10,0,0
708,taliban,10,10,0,0
709,conspiracy theory,10,10,0,0
710,unarius academy of science,10,10,0,0
711,practitioners,10,10,0,0
712,santeria,10,10,0,0
713,sex,10,10,0,0
714,zen,10,10,0,0
715,habermas,10,10,0,0
716,counterculture,10,10,0,0
717,church of the lamb of god,10,10,0,0
718,nation of yahweh,10,10,0,0
719,cwgs,10,10,0,0
720,mission,10,10,0,0
721,universal values,10,10,0,0
722,findhorn community,10,10,0,0
723,religious organisations,10,10,0,0
724,religious studies,10,10,0,0
725,nrs,10,10,0,0
726,nrs scholars,10,10,0,0
727,jewish community,10,10,0,0
728,charismatic groups,10,10,0,0
729,weber,10,10,0,0
730,tension,10,10,0,0
731,freedom,10,10,0,0
732,engaged buddhism,10,10,0,0
733,david brandt berg,10,10,0,0
734,great white brotherhood,10,10,0,0
735,oahspe,10,10,0,0
736,george king,10,10,0,0
737,africans,10,10,0,0
738,apostolic succession,10,10,0,0
739,america,10,10,0,0
740,william joseph seymour,10,10,0,0
741,annie besant,10,10,0,0
742,celestial church of christ (ccc),10,10,0,0
743,fraternitas rosae crucis,10,10,0,0
744,ferguson,10,10,0,0
745,focolare,10,10,0,0
746,gedatsukai,10,10,0,0
747,clergy,10,10,0,0
748,omoto,10,10,0,0
749,saint germain,10,10,0,0
750,self-religion,10,10,0,0
751,silva mind control,10,10,0,0
752,universal hagar's spiritual church,10,10,0,0
753,universal soul,10,10,0,0
754,christian reconstructionism,10,10,0,0
755,irs,10,10,0,0
756,social science,10,10,0,0
757,fred vitelli,10,10,0,0
758,unifi cationist movement,10,10,0,0
759,unifi cationism,10,10,0,0
760,qur'an,10,10,0,0
761,lavey,10,10,0,0
762,kharijites,10,10,0,0
763,ecclesial movements,10,10,0,0
764,sant'kgidio,10,10,0,0
765,nslf,10,10,0,0
766,virginia,10,10,0,0
767,pioneers,10,10,0,0
768,virginia mcmartin,10,10,0,0
769,peggy buckey,10,10,0,0
770,ray buckey,10,10,0,0
771,sami shamanism,10,10,0,0
772,aum shinriky ō,10,10,0,0
773,sects in the islamic world,10,10,0,0
774,sikh dharma,10,10,0,0
775,world plan executive council,10,10,0,0
776,tbc,10,10,0,0
777,sgi,10,10,0,0
778,john venn,10,10,0,0
779,sufi brotherhoods,10,10,0,0
780,zindapir,10,10,0,0
781,mineurs,10,0,10,0
782,minority faiths,9,9,0,0
783,autonomy,9,9,0,0
784,eastern religions,9,9,0,0
785,robbins,9,9,0,0
786,nrm scholars,9,9,0,0
787,neo-pagan movement,9,9,0,0
788,sectarian groups,9,6,3,0
789,worldview,9,9,0,0
790,deepak chopra,9,9,0,0
791,religious innovation,9,9,0,0
792,syncretism,9,9,0,0
793,shinto,9,9,0,0
794,religious traditions,9,9,0,0
795,reverend sun myung moon,9,9,0,0
796,religious communities,9,9,0,0
797,dramatic denouement,9,9,0,0
798,sexual abuse,9,9,0,0
799,recruits,9,9,0,0
800,countermovement,9,9,0,0
801,acm groups,9,9,0,0
802,black magic,9,9,0,0
803,cult experts,9,9,0,0
804,edward hunter,9,9,0,0
805,victims,9,5,4,0
806,therapists,9,9,0,0
807,islamists,9,9,0,0
808,islamic movements,9,9,0,0
809,mediums,9,9,0,0
810,angels,9,9,0,0
811,e-meter,9,9,0,0
812,literature,9,9,0,0
813,freemasonry,9,9,0,0
814,clear,9,9,0,0
815,white lotus society,9,9,0,0
816,white lotus movement,9,9,0,0
817,sectarianism,9,9,0,0
818,hong,9,9,0,0
819,founder,9,9,0,0
820,batf,9,9,0,0
821,cult-related violence,9,9,0,0
822,impression management,9,9,0,0
823,human rights groups,9,9,0,0
824,ccgs,9,9,0,0
825,opponents,9,9,0,0
826,bo and peep,9,9,0,0
827,older members,9,9,0,0
828,overvalued ideas,9,9,0,0
829,erotomania,9,9,0,0
830,pornography,9,9,0,0
831,max weber,9,9,0,0
832,invented religions,9,9,0,0
833,supreme court,9,9,0,0
834,charismatic relationships,9,9,0,0
835,traditions,9,9,0,0
836,hindu,9,9,0,0
837,meditation,9,9,0,0
838,christian churches,9,9,0,0
839,religious pluralism,9,9,0,0
840,satanic cults,9,9,0,0
841,leavers,9,9,0,0
842,celibacy,9,9,0,0
843,israel,9,9,0,0
844,scripture,9,9,0,0
845,religious science,9,9,0,0
846,religious sects,9,9,0,0
847,worship,9,9,0,0
848,asahara shoko,9,9,0,0
849,black jewish groups,9,9,0,0
850,india,9,9,0,0
851,church of pentecost,9,9,0,0
852,saint germain foundation,9,9,0,0
853,mother earth,9,9,0,0
854,gcc,9,9,0,0
855,oral roberts,9,9,0,0
856,pentecostal,9,9,0,0
857,mahdi,9,9,0,0
858,nigritian episcopal church,9,9,0,0
859,perfect liberty kyodan,9,9,0,0
860,sri ramakrishna,9,9,0,0
861,coercion,9,9,0,0
862,roman catholic orders,9,9,0,0
863,brigham young,9,9,0,0
864,dennis ericson,9,9,0,0
865,center,9,9,0,0
866,ayahuasca,9,9,0,0
867,thelema,9,9,0,0
868,consecrated families,9,9,0,0
869,faith,9,9,0,0
870,neocatechumenal way,9,9,0,0
871,parliament,9,9,0,0
872,underground temple,9,9,0,0
873,mystical position,9,9,0,0
874,children of light,9,9,0,0
875,marlene,9,9,0,0
876,laye fraternity of seydina limamu,9,9,0,0
877,ibra fall,9,9,0,0
878,christian movements,9,9,0,0
879,jediism,9,9,0,0
880,witnesses,9,9,0,0
881,métis,9,9,0,0
882,ancient and mystical order rosae crucis,9,9,0,0
883,george b. charles,9,9,0,0
884,extreme overvalued belief,9,9,0,0
885,babington,9,9,0,0
886,african institution,9,9,0,0
887,nagore andavar,9,9,0,0
888,bava gor,9,9,0,0
889,individualism,8,8,0,0
890,recruitment,8,7,1,0
891,legitimacy,8,8,0,0
892,nrm studies,8,8,0,0
893,al-qaeda,8,8,0,0
894,supernatural,8,8,0,0
895,order,8,8,0,0
896,doctrine,8,7,0,1
897,traditional religion,8,8,0,0
898,sociologists of religion,8,8,0,0
899,world-affirming,8,8,0,0
900,cultic groups,8,8,0,0
901,education,8,8,0,0
902,control agencies,8,8,0,0
903,law enforcement agencies,8,8,0,0
904,quakers,8,8,0,0
905,freedom of belief,8,8,0,0
906,salem,8,8,0,0
