entity_key,entity_label,nearest_cluster_id,euclidean_distance,cosine_similarity
vorilhon,vorilhon,25,0.8657043900487015,0.511519491915198
the book of mormon,the book of mormon,2,0.6506371669561285,0.7636109293764549
kali,kali,25,0.7701498750592444,0.6382207248722331
vatican ii,vatican ii,2,0.7936759308063943,0.6411927068807131
new york times,new york times,2,0.8074159156632083,0.6281569891657621
marshall herff applewhite,marshall herff applewhite,35,0.9171017048566653,0.4542176133646716
ti and do,ti and do,35,0.7798214988303501,0.6275701884889416
rick ross,rick ross,35,0.8475211370915655,0.5455863961152915
spiritual counterfeits project,spiritual counterfeits project,39,0.7155676901168618,0.698684690671167
baudrillard,baudrillard,35,0.8284922252200038,0.5693198777842502
scientologists,scientologists,35,0.7653193664742425,0.6442449410578389
christian countercult,christian countercult,47,0.6101500817950065,0.7930685359861737
neopagans,neopagans,31,0.653855947655766,0.7572380675069696
universal life church,universal life church,32,0.6848761081453738,0.7288000622110264
high priest,high priest,35,0.7866810967110638,0.6195742020392383
lama,lama,25,0.723362189703418,0.694860768213069
tao te ching,tao te ching,25,0.7463810086161624,0.6674383338841415
tibetan book of the dead,tibetan book of the dead,34,0.795424917161866,0.6106765596223414
y2k crisis,y2k crisis,45,0.821497780028693,0.5818234824668331
sinovess,sinovess,25,0.8612968971960067,0.5176893524530871
starhawk,starhawk,25,0.843428246249301,0.5423804701234607
neopagan,neopagan,31,0.6504345820334191,0.7603090311218506
goffman,goffman,25,0.9103741132804516,0.4472122297848564
merlin,merlin,25,0.8585955400492055,0.5214551333756864
hermetic order of the golden dawn,hermetic order of the golden dawn,28,0.6617449116298622,0.7497857349844913
golden dawn,golden dawn,35,0.8441634946131464,0.5498135589653116
dianetics,dianetics,35,0.8247190205658883,0.5739617868594509
operating thetan,operating thetan,35,0.7644568234046577,0.6452268211544326
new religious movements (nrms),new religious movements (nrms),10,0.29067953083985576,0.9640310420478935
manson family,manson family,37,0.8583859424075765,0.5532575062655932
hale-bopp comet,hale-bopp comet,25,0.8996074308267417,0.4630087305711807
next level,next level,35,0.7206286360456975,0.6936626924078283
new age groups,new age groups,19,0.5502651132994956,0.8429501571911663
chen tao,chen tao,25,0.8522069321826581,0.5303144764020532
messianic communities,messianic communities,24,0.7413847482446922,0.6716277191884782
church universal and triumphant,church universal and triumphant,32,0.6982810795432329,0.7158248150316608
seventh-day adventists,seventh-day adventists,24,0.7406116777450787,0.6725169226317953
weber,weber,36,0.8811468441698924,0.5043539454724459
jim jones,jim jones,35,0.8780942397100826,0.5063268534808815
charles manson,charles manson,37,0.8320309972146251,0.5825511634440658
billy graham,billy graham,35,0.8426673175921603,0.5516915132264377
oral roberts,oral roberts,35,0.7833901898906129,0.6234185746927574
martin luther king,martin luther king,36,0.7697548511471931,0.639605614163036
galanter,galanter,25,0.8147426862853241,0.5809345770787272
exodus,exodus,4,0.747632413994355,0.6889179476165899
battle,battle,25,0.8343739980254571,0.5546930368857105
rajneesh,rajneesh,20,0.6114317445537084,0.7990049279735632
justus freemen,justus freemen,35,0.9001175940255721,0.4771844561395897
unificationist movement,unificationist movement,27,0.6608711039987643,0.7505792667319917
movement for the restoration of the ten commandments,movement for the restoration of the ten commandments,39,0.6661263011377175,0.7466076715475689
aum,aum,26,0.8165825888415189,0.598637399071802
korean,korean,25,0.7765940180666909,0.6301412540594041
japanese,japanese,25,0.7323840104856136,0.6842152433400797
switzerland,switzerland,36,0.8515141961637297,0.5421153392173088
canada,canada,36,0.8346160847963926,0.5630708301912507
u.s. supreme court,u.s. supreme court,2,0.7835277543140154,0.650677121872407
u.s. constitution,u.s. constitution,36,0.7708329875249901,0.6383837500190629
