concept_id,concept_en,gloss_en,total_mentions,literature_mentions,miviludes_mentions,interviews_mentions,n_corpora,is_generic
sc_0303,emphasis,special importance or significance,121,121,0,0,1,true
sc_0304,response,a result,121,121,0,0,1,true
sc_0305,evil,morally objectionable behavior,120,120,0,0,1,true
sc_0306,communal,relating to a small administrative district or community,120,119,0,1,2,true
sc_0307,sufi,a Muslim who represents the mystical dimension of Islam; a Muslim who seeks direct experience of Allah; mainly in Iran,120,120,0,0,1,true
sc_0308,contact,close interaction,119,118,1,0,2,true
sc_0309,meditation,continuous and profound contemplation or musing on a subject or series of subjects of a deep or abstruse nature,119,117,0,2,2,true
sc_0310,conditions,the prevailing context that influences the performance or the outcome of a process,118,109,8,1,3,true
sc_0311,vision,a vivid mental image,118,117,1,0,2,true
sc_0312,sectarian,a member of a sect,117,89,28,0,2,true
sc_0313,main,(of a clause) capable of standing syntactically alone as a complete sentence,117,114,2,1,3,true
sc_0314,limited,small in range or scope,117,117,0,0,1,true
sc_0315,situation,the general state of things; the combination of circumstances at a given time,117,108,9,0,2,true
sc_0316,using,an act that exploits or victimizes someone (treats them unfairly),117,115,1,1,3,true
sc_0317,notion,a vague idea in which some confidence is placed,117,114,3,0,2,true
sc_0318,reform,a change for the better as a result of correcting abuses,117,117,0,0,1,true
sc_0319,primary,a preliminary election where delegates or nominees are chosen,117,117,0,0,1,true
sc_0320,buddhist,one who follows the teachings of Buddha,117,117,0,0,1,true
sc_0321,opposition,the major political party opposed to the party in office and prepared to replace it if elected,116,116,0,0,1,true
sc_0322,dangerous,involving or causing danger or risk; liable to hurt or harm,116,115,0,1,2,true
sc_0323,active,the voice used to indicate that the grammatical subject of the verb is performing the action or causing the happening denoted by the verb,116,115,1,0,2,true
sc_0324,away,used of an opponent's ground,116,116,0,0,1,true
sc_0325,prophet,an authoritative person who divines the future,116,116,0,0,1,true
sc_0326,activity,any specific behavior,114,113,1,0,2,true
sc_0327,awareness,having knowledge of,114,113,0,1,2,true
sc_0328,core,an organization founded by James Leonard Farmer in 1942 to work for racial equality,113,111,0,2,2,true
sc_0329,complex,a conceptual whole made up of complicated and related parts,113,113,0,0,1,true
sc_0330,purpose,an anticipated outcome that is intended or that guides your planned actions,113,113,0,0,1,true
sc_0331,single,a base hit on which the batter stops safely at first base,113,113,0,0,1,true
sc_0332,universal,(linguistics) a grammatical rule (or other linguistic feature) that is found in all languages,113,113,0,0,1,true
sc_0333,better,something superior in quality or condition or effect,113,110,1,2,3,true
sc_0334,return,document giving the tax collector information about the taxpayer's tax liability,113,113,0,0,1,true
sc_0335,bible,a book regarded as authoritative in its field,113,113,0,0,1,true
sc_0336,positive,"the primary form of an adjective or adverb; denotes a quality without qualification, comparison, or relation to increase or diminution",112,109,2,1,3,true
sc_0337,minority,a group of people who differ racially or politically from a larger group of which it is a part,112,112,0,0,1,true
sc_0338,hindu,a native or inhabitant of Hindustan or India,112,112,0,0,1,true
sc_0339,north,the cardinal compass point that is at 0 or 360 degrees,111,111,0,0,1,true
sc_0340,school,an educational institution,111,110,1,0,2,true
sc_0341,concerned,feeling or showing worry or solicitude,111,111,0,0,1,true
sc_0342,involvement,the act of sharing in the activities of a group,110,108,2,0,2,true
sc_0343,emotional,determined or actuated by emotion rather than reason,110,109,1,0,2,true
sc_0344,attempt,earnest and conscientious activity intended to do or accomplish something,110,110,0,0,1,true
sc_0345,analysis,an investigation of the component parts of a whole and their relations in making up the whole,110,110,0,0,1,true
sc_0346,lead,an advantage held by a competitor in a race,110,110,0,0,1,true
sc_0347,peoples,the human beings of a particular nation or community or ethnic group,110,110,0,0,1,true
sc_0348,theology,the rational and systematic study of religion and its influences and of the nature of religious truth,110,110,0,0,1,true
sc_0349,understood,fully apprehended as to purport or meaning or explanation,110,109,1,0,2,true
sc_0350,controversial,marked by or capable of arousing controversy,109,109,0,0,1,true
sc_0351,defined,clearly characterized or delimited,109,109,0,0,1,true
sc_0352,expression,the feelings expressed on a person's face,109,108,1,0,2,true
